Unit ID	ISP	Technology	State	Census	timezone_offset	timezone_offset_dst	Download	Upload	Whitebox Model
447	Verizon	Fiber	PA	Northeast	-5	-4	75	75	wnr3500l-high
1014	Verizon	Fiber	NJ	Northeast	-5	-4	100	100	wnr3500l-high
5521	Verizon	Fiber	MD	South	-5	-4	100	100	wnr3500l-high
5875	Verizon	Fiber	VA	South	-5	-4	100	100	wnr3500l-high
5968	Verizon	Fiber	MA	Northeast	-5	-4	75	75	wnr3500l-high
7842	Verizon	Fiber	MA	Northeast	-5	-4	75	75	wnr3500l-high
7937	Verizon	Fiber	VA	South	-5	-4	100	100	wnr3500l-high
9555	Verizon	Fiber	NJ	Northeast	-5	-4	100	100	wnr3500l-high
10571	Verizon	Fiber	MA	Northeast	-5	-4	100	100	wnr3500l-high
10626	Verizon	Fiber	NE	Midwest	-6	-5	100	100	wnr3500l-high
11457	Verizon	Fiber	VA	South	-5	-4	75	75	wnr3500l-high
12485	Verizon	Fiber	VA	South	-5	-4	100	100	wnr3500l-high
12532	Verizon	Fiber	VA	South	-5	-4	100	100	wnr3500l-high
12757	Verizon	Fiber	MA	Northeast	-5	-4	75	75	wnr3500l-high
12979	Verizon	Fiber	MD	South	-5	-4	100	100	wnr3500l-high
13150	Verizon	Fiber	PA	Northeast	-5	-4	75	75	wnr3500l-high
14684	Verizon	Fiber	RI	Northeast	-5	-4	100	100	wnr3500l-high
26477	Verizon	Fiber	MA	Northeast	-5	-4	75	75	wr1043nd
26623	Verizon	Fiber	VA	South	-5	-4	100	100	wr1043nd
26672	Verizon	Fiber	NJ	Northeast	-5	-4	75	75	wr741nd
566354	Verizon	Fiber	MD	South	-5	-4	75	75	wr741ndv4
638372	Verizon	Fiber	MA	Northeast	-5	-4	100	100	wdr3600
660260	Verizon	Fiber	PA	Northeast	-5	-4	100	100	wdr3600
660302	Verizon	Fiber	NJ	Northeast	-5	-4	100	100	wdr3600
661060	Verizon	Fiber	VA	South	-5	-4	200	200	wdr3600
675986	Verizon	Fiber	PA	Northeast	-5	-4	200	200	wdr3600
797080	Verizon	Fiber	NY	Northeast	-5	-4	100	100	wdr3600
925886	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
925928	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
925942	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
940708	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
940722	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
940736	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
940798	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
941740	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
941782	Frontier	Fiber	TX	South	-6	-5	500	500	ac1750v2
941974	Verizon	Fiber	VA	South	-5	-4	100	100	ac1750v2
942020	Verizon	Fiber	MD	South	-5	-4	100	100	ac1750v2
942138	Verizon	Fiber	NJ	Northeast	-5	-4	100	100	ac1750v2
942200	Verizon	Fiber	NY	Northeast	-5	-4	100	100	ac1750v2
942214	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
942216	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
942250	Verizon	Fiber	PA	Northeast	-5	-4	100	100	ac1750v2
942274	Frontier	Fiber	TX	South	-6	-5	500	500	ac1750v2
942630	Frontier	Fiber	FL	South	-5	-4	500	500	ac1750v2
942822	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
943190	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
943226	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
943230	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
943232	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
943236	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
943266	Cincinnati Bell	Fiber	KY	South	-5	-4	500	125	ac1750v2
943306	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
945122	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	ac1750v2
947084	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	ac1750v2
948646	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
948764	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
948842	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	skwb8
948844	Cincinnati Bell	Fiber	KY	South	-5	-4	500	125	skwb8
950176	Verizon	Fiber	MD	South	-5	-4	100	100	skwb8
996265	Verizon	Fiber	VA	South	-5	-4	200	200	skwb8
997351	Verizon	Fiber	VA	South	-5	-4	200	200	skwb8
998059	Frontier	Fiber	FL	South	-5	-4	500	500	skwb8
998971	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000023	Verizon	Fiber	MA	Northeast	-5	-4	200	200	skwb8
1000127	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000143	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	skwb8
1000161	Frontier	Fiber	CA	West	-8	-7	500	500	skwb8
1000183	Frontier	Fiber	CA	West	-8	-7	500	500	skwb8
1000764	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000774	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000776	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	250	100	skwb8
1000850	Frontier	Fiber	FL	South	-5	-4	500	500	skwb8
1000852	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000924	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000946	Cincinnati Bell	Fiber	OH	Midwest	-5	-4	500	125	skwb8
1000972	Frontier	Fiber	TX	South	-6	-5	500	500	skwb8
1001188	Verizon	Fiber	MA	Northeast	-5	-4	75	75	skwb8
1001298	Verizon	Fiber	MD	South	-5	-4	200	200	skwb8
1001336	Verizon	Fiber	PA	Northeast	-5	-4	100	100	skwb8
1001922	Verizon	Fiber	VA	South	-5	-4	100	100	skwb8
1001956	Verizon	Fiber	NY	Northeast	-5	-4	100	100	skwb8
1001984	Verizon	Fiber	PA	Northeast	-5	-4	200	200	skwb8
1002070	Verizon	Fiber	MD	South	-5	-4	100	100	skwb8
